#Id	Names	Type	Con	RA	Dec	Mag	Size	Sep	PA	Class	Distance	Notes
AF Cyg	AF Cyg	Variable	Cyg	19h 30m 13s	46° 08' 52"	4.9						
AG 38	AG 38	Double	Ari	02h 23m 19s	15° 25' 06"	A=8.9, B=9.4, C=12.0		AB=34.8, AC=149.2	AB=261, AC=186			
Airplane	Airplane/Party Balloon	Ast	Cas	23h 21m 00s	62° 20' 00"	9.5	75'					6 stars outlining double-convex lens, create wings. 5 stars that curve northward create fuselage and tail
Ally's Braid	Ally's Braid	Ast	Tau	03h 48m 30s	24° 20' 43"	7.0	42'					In the Pleiades. Starts at the bright star Alcyone η in the center of the cluster. From Alcyone going towards the upper left there are 3 bright stars, a slight change in direction and 4 more stars. The last star is a bright 5th magnitude.
Alpha Cap	Alpha Cap	Double	Cap	20h 18m 06s	-12° 33' 00"	A=3.7, E=4.3, D=10.5, BC=11.1, B=11.2, C=11.5		AE=381.2, AD=153.2, A,BC=6.6, BC=1.2	AE=290, AD=159, A,BC=196, BC=241			
Alpha Cen	Alpha Cen/Rigel Kent	Double	Cen	14h 40m 00s	-60° 50' 00"	0.0		17.5				! Proxima 131' southwest
Alpha CMa	Alpha CMa/Sirius	Double	CMa	06h 45m 12s	-16° 42' 00"	-1.5		5				separation widening
Alpha CVn	Alpha CVn/Cor Caroli	Double	CVn	12h 56m 00s	38° 19' 00"	2.9, 5.5		19.2	228			! yellow, blue?
Alpha Gem	Alpha Gem/Castor	Double	Gem	07h 34m 36s	31° 53' 00"	1.9, 3.0		4.6	55			!
Alpha Her	Alpha Her/Rasalgeti	Double	Her	17h 14m 36s	14° 23' 00"	3.5, 5.4		4.8	103			! red, yellow
Alpha Leo	Alpha Leo	Double	Leo	10h 08m 24s	11° 58' 00"	1.4, 8.2		175.2	307			
Alpha Lib	Alpha Lib	Double	Lib	14h 50m 54s	-16° 02' 00"	2.7, 5.2		231.1	314			
Alpha Psc	Alpha Psc/Alrisha	Double	Psc	02h 02m 00s	02° 46' 00"	4.1, 5.2		1.7	266			
Alpha Sco	Alpha Sco/Antares	Double	Sco	16h 29m 30s	-26° 25' 00"	0.9		2.6				red, greenish
Alpha UMi	Alpha UMi/Polaris	Double	UMi	02h 31m 48s	89° 16' 00"	2.1, 9.1		18.1	233			
AQ And	AQ And/HIP 2180	Carbon	And	00h 27m 31s	35° 35' 14"	6.9 - 8.6				C5 (Nb)		
AQ Sgr	AQ Sgr/HIP 96255	Carbon	Sgr	19h 34m 18s	-16° 22' 27"	6.6 - 8.5				C7 (N3)		
AR Cas, STT 496	AR Cas, STT 496	Double	Cas	23h 30m 02s	58° 32' 56"	A=4.8, B=9.3, C=7.2, D=10.6, E=11.2, F=10.5		AB=0.8, AC=75.7, AE=117, AF=67.2, CD=1.3	AB=356, AC=269, AE=117, AF=338, BC=17			
Arrowchain	Arrowchain	Ast	Sge	19h 55m 00s	17° 18' 00"	9.0	36'					A chevron of 9 stars.
Arrowhead	Arrowhead/Unicorn's Horn	Ast	Mon	06h 40m 00s	-09° 00' 00"	8.0	15'					Six blue/white stars in the shape of a triangle.
AW Cyg	AW Cyg/HIP 95777	Carbon	Cyg	19h 28m 47s	46° 02' 38"	7.1 - 8.5				C4 (N3)		
AX Cyg	AX Cyg/HIP 98190	Carbon	Cyg	19h 57m 12s	44° 15' 40"	7.9 - 8.8				C4 (N6)		
B 86	B 86/Inkspot Nebula	DN	Sgr	18h 03m 00s	-27° 52' 00"		6' x 4'				5.15kly	Forms a pairing with NGC6520 open cluster
B 92	B 92	DN	Sgr	18h 15m 36s	-18° 14' 00"		15' x 9'			n/a	10kly	on northside of M24
B 93	B 93	DN	Sgr	18h 16m 54s	-18° 04' 00"		8' x 3'			n/a	10kly	on northside of M24
Baby Scorpion	Baby Scorpion	Ast	Hya	14h 48m 00s	-26° 06' 00"	5.0 - 8.0	5°					Smaller version of Scorpius facing the same direction, composed of 11 stars
Backwards 5	Backwards 5	Ast	Her	16h 37m 00s	30° 45' 00"	7.0 - 10.0	20'					Find this asterism 1 degree southwest of Zeta Herculis. Shape of number '5'.
Barbecue Fork	Barbecue Fork	Ast	Tau	05h 43m 00s	21° 20' 00"	9.0 - 11.5	90'					Close string of stars that run east/west are the handle with a line of stars that curve upward and downward for the fork prongs. 2 stars on the west side that are north/south endthe handle.
Berkeley 68	Berkeley 68	OCl	Per	04h 44m 30s	42° 04' 00"	9.8	12'			IV 2 p	5.47kly	113 stars
Berkeley 94	Berkeley 94	OCl	Cep	22h 22m 54s	55° 53' 00"	8.7	3'			I 1 p n	8.6kly	12 stars
Beta Cap	Beta Cap	Double	Cap	20h 21m 00s	-14° 47' 00"	3.2, 6.1		205.4	267			
Beta Cep	Beta Cep	Double	Cep	21h 28m 42s	70° 34' 00"	3.2, 8.6		14.1	248			
Beta Cyg	Beta Cyg/Albireo	Double	Cyg	19h 30m 42s	27° 58' 00"	3.2, 4.7		34.7	55			!! yellow, blue
Beta Lyr	Beta Lyr	Double	Lyr	18h 50m 06s	33° 22' 00"	3.6, 6.7		44.8	147			
Beta Mon	Beta Mon/STF 919	Double	Mon	06h 28m 48s	-07° 02' 00"	A=4.6, B=5.0, C=5.4		AB=6.6, AC=9.9	AB=133, AC=125			!
Beta Ori	Beta Ori/Rigel	Double	Ori	05h 14m 30s	-08° 12' 00"	0.3, 6.8		9.3	204			
Beta Per	Beta Per/Algol	Variable	Per	03h 08m 12s	40° 57' 00"	2.1 - 3.4						
Beta Sco	Beta Sco/Acrab	Double	Sco	16h 05m 24s	-19° 48' 00"	2.6, 4.5		13.6	20			primary has m10 companion within 1"
BF Sge	BF Sge/HIP 98662	Carbon	Sge	20h 02m 23s	21° 05' 24"	8.5 - 10.0				C4 (N3)		
Big Dipper	Big Dipper	Ast	UMa	12h 30m 00s	55° 00' 00"	2.0	27° x 13°					Formed by the stars Alpha, Beta. Gamma, Delta, Epsilon, Zeta, and Eta Ursae Majoris.
BL Ori	BL Ori/HIP 30564	Carbon	Ori	06h 25m 28s	14° 43' 19"	6.0 - 7.0				C6 (Nb, Tc)		
BM Gem	BM Gem/HIP 35617	Carbon	Gem	07h 20m 59s	24° 59' 58"	8.3 - 9.2				C5(Nb)		
Boomerang	Boomerang	Ast	CMa	07h 05m 00s	-26° 00' 00"	4.0 - 6.0	2°					Semi-circle of 8 to 10 stars centered around Delta Canis Majoris.
Broken Engagement Ring	Broken Engagement Ring	Ast	UMa	10h 51m 00s	56° 09' 00"	7.0	20'					About 10 stars visible. West of Beta Ursa Majoris.Stars form an incomplete circle.
BU 1	BU 1	Double	Cas	00h 52m 49s	56° 37' 40"	A=8.5, B=9.3, C=8.8, D=9.6		AB=1.5, AC=3.9, AD=9, AE=15.8	AB=83, AC=134, AD=194, AB,E=42			In the Pacman Nebula, NGC 281
BU 126	BU 126	Double	Oph	17h 19m 54s	-17° 45' 00"	A=6.3, B=7.6, C=11.2		AB=2.3, AC=12				
BU 193	BU 193	Double	Ori	06h 15m 30s	03° 57' 30"	A=6.9, B=12.0, C=10.0		AB=19.5, AC=57.8	AB=97, AC=232			
BU 225	BU 225	Double	Lib	14h 25m 30s	-19° 58' 00"	A=6.6, B=7.2, C=8.4		AB=1.2, AC=34.8				
BU 31	BU 31	Double	Boo	14h 52m 30s	18° 44' 19"	A=8.5, B=10.3, D=11.6		AB=2, AC=90	AB=222, AC=259			
BU 324	BU 324	Double	CMa	06h 49m 42s	-24° 05' 00"	A=6.6, B=7.9, C=8.3		AB=1.7, AC=30.1				
BU 328	BU 328	Double	CMa	07h 06m 42s	-11° 18' 00"	A=5.7, B=6.9, C=9.0		AB=0.6, AC=19.5				
BU 575	BU 575	Double	CMa	07h 14m 48s	-15° 29' 00"	A=7.9, B=8.3, C=9.9		AB=0.5, AC=15.8				
S 752, BU 987	S 752, BU 987	Double	Del	20h 30m 14s	19° 25' 15"	A=6.8, B=11.1, C=7.3		AB=2.6, AC=106	AB=126, AC=288			
Camel	Camel/French 2	Ast	Hya	10h 07m 00s	-24° 55' 00"	7.0 - 11.0	39'					11 stars in the shape of a camel facing west. Brightest star marks the top of it's head.
Castor ABCD, STF 1110	Castor ABCD, STF 1110	Double	Gem	07h 34m 36s	31° 53' 18"	A=1.9, B=2.9, C=9.8, D=10.7		AB=5.3, AC=69.8, AD=179.8	AB=52, AC=163, AD=179			
Chi 1, 2, 3	Chi 1, 2, 3	Ast	For	03h 30m 00s	-35° 00' 00"	6.0	30' x 30'					3 stars in a triangle.
Chi Tau	Chi Tau	Double	Tau	04h 22m 36s	25° 38' 00"	5.4, 8.5		20.4	24			
Chinese Kite	Chinese Kite	Ast	Her	17h 58m 00s	45° 50' 00"	8.5 - 11.0	90'					9 stars make up a circular kite. 4 stars make up 2 strings.  3 degrees east of star 85 Herculis.
Circlet	Circlet	Ast	Psc	23h 30m 00s	04° 00' 00"	4.0 - 5.0	6°					Formed by the stars Theta, 7, Gamma, Kappa, Lambda, TX, and Iota Piscium.
Cr 399	Coathanger/Cr.399	OCl+Ast	Vul	19h 25m 24s	20° 11' 00"	7.5	90'					6 straight stars as the bar and 4 as the hook.
Cr 463	Cr 463	OCl	Cas	01h 45m 45s	71° 48' 36"	5.7	57'					
Crossbow	Crossbow	Ast	Cep	22h 10m 09s	58° 12' 00"	3.0	4° x 3°					main star is zeta cep. Use binoculars
Curved Arrow	Curved Arrow	Ast	Com	12h 53m 00s	19° 30' 00"	9.5	45'					5 stars show curve stem. 5 stars make arrow.  1.5 degrees south of star 35 Comae Berenices.
CY Cyg	CY Cyg	Carbon	Cyg	20h 46m 50s	46° 03' 06"	7.9 - 8.4				CS (M2p)		
David's D	David's D	Ast	Tri	01h 50m 00s	27° 04' 00"		6'					13 stars form a capital letter 'D'
Davis's Dog	Davis's Dog	Ast	Tau	04h 22m 00s	21° 46' 00"	5.0	3.433° x 1.433°					15 stars. Omega Tauri as nose, 2 stars for the head and ears; one of which is star 56, Kappa 1 and 2 for the end, Upsilon and 72 Tauri for tail, 3 stars for hind legs, 4 stars or front leg, then stars 53 Tauri for bottom of head by mouth.
Delphinius Minor	Delphinius Minor	Ast	Peg	23h 03m 00s	23° 12' 00"	7.0 - 8.0	60'					Mini Delphinus located on the western (right) edge of the Square of Pegasus.
Delta Boo	Delta Boo	Double	Boo	15h 15m 30s	33° 19' 00"	3.6, 7.9		104.6	78			
Delta Cep	Delta Cep	Double	Cep	22h 29m 12s	58° 25' 00"	4.2, 6.1		40.9	191			
Delta Crv	Delta Crv	Double	Crv	12h 29m 54s	-16° 31' 00"	2.9, 8.5		24.6	213			
Delta Cyg, STF 2579	Delta Cyg, STF 2579	Double	Cyg	19h 44m 58s	45° 07' 50"	A=2.8, B=6.2, C=12.0		AB=2.8, AC=62.5	AB=216, AC=67			
Delta Gem	Delta Gem/Wasat	Double	Gem	07h 20m 06s	21° 59' 00"	3.6, 8.2		5.6	230			! yellow, blue
