#id	flamsteed	bayer	con 	ra	dec	mag
5765				153309.1	-242922	7.00
5766				153617.4	-653648	6.51
5767				153401.6	-400358	5.82
5768				152921.2	+620559	6.38
5769				153122.4	+363659	6.38
5770	12	Tau2	Ser	153209.7	+160322	6.22
5771		Eps	TrA	153643.2	-661901	4.11
5772	11		Ser	153257.9	-011111	5.51
5773				153420.9	-392058	6.36
5774	53	Nu 2	Boo	153147.0	+405358	5.02
5775	36		Lib	153437.3	-280249	5.15
5776		Gam	Lup	153508.5	-411001	2.78
5777	37		Lib	153410.7	-100352	4.62
5778	4	The	CrB	153255.8	+312133	4.14
5779				153420.8	-054142	6.51
5780				153426.6	-091100	5.17
5781				153553.2	-445731	4.54
5782		Kap2	Aps	154021.2	-732648	5.65
5783				153352.8	+170816	6.45
5784				153612.1	-442349	5.43
5785				153055.7	+641231	5.79
5786				154154.6	-760455	5.95
5787	38	Gam	Lib	153531.6	-144722	3.91
5788	13	Del	Ser	153448.1	+103215	3.80
5789	13	Del	Ser	153448.1	+103221	3.80
5790				153611.4	-330534	6.24
5791				153504.6	+014008	6.56
5792				154011.5	-701340	6.44
5793	5	Alp	CrB	153441.3	+264253	2.23
5794	39	Ups	Lib	153701.5	-280806	3.58
5795	15	Tau3	Ser	153533.2	+173920	6.12
5796				153553.4	+111556	6.07
5797		Ome	Lup	153803.2	-423403	4.33
5798				153849.5	-522222	5.44
5799	14		Ser	153633.7	-003342	6.51
5800	6	Mu	CrB	153515.0	+390036	5.11
5801				153728.5	-261648	6.19
5802	16		Ser	153629.6	+100036	5.26
5803				153956.5	-595430	5.95
5804	18	Tau5	Ser	153629.3	+160708	5.93
5805				153832.7	-390939	6.57
5806				153748.1	-230830	5.78
5807				153842.3	-390741	6.04
5808				153549.3	+382226	6.42
5809				153815.7	-281224	6.32
5810				153816.3	-210058	5.84
5811				153516.3	+535519	5.97
5812	40	Tau	Lib	153839.4	-294640	3.66
